20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,gc,stable
3.313607776,1.608347627,0.981703831,7.164379646,23.3976558,37.74871355,38.99542596,35.30531732,47.47255575,9.339622642,3.002858776,2.947970269,1.788164666,1.261578045,1.699542596,10.45283019,19.9565466,27.62035449,19.02458548,50.53744997,45.85020011,4.967124071,1.989422527,0.96112064,7864,5,38
2.117109397,0.292202228,0.943730363,2.660954013,12.06598115,7.738360468,7.669237361,11.33019137,17.78177664,1.464438732,4.071408169,1.666666667,1.254498715,1.389317338,4.415024279,8.946872322,9.672950586,12.92059412,5.621536704,10.72979149,8.406169666,2.019137389,1.921165381,0.850899743,8282,5,39
2,0,0,0.367381974,4.486695279,2.0981402,9.666666667,3.943347639,2.196280401,0.666666667,0,1.254935622,1,1.764806867,0.235193133,2.918454936,4.328183119,9.746494993,2.333333333,1,1.862947067,0,0,0.333333333,3677,5,40
2.254145226,0,0,0.666666667,7.919382504,6.696683819,16.08633505,6.666666667,7.360205832,1.541738136,1.345054317,1.333333333,0.697255575,0.666666667,0,6.985991995,6.321326472,5.249571184,9.779874214,3.890508862,8.326186392,1.048885077,0.773299028,0.666666667,11203,5,40
1.395782644,0.333333333,0.301162476,1.666666667,2.756961341,14.72776426,13.87347932,4.750202758,2.301162476,0.333333333,0.240875912,1.256555826,0.967829143,0.333333333,1.204649905,0.967829143,7.031900514,6.049743174,12.60665045,2.772100568,1.333333333,0.666666667,0.240875912,0,15825,5,41
5.908233276,2.287307033,2.006289308,15.46455117,21.72984563,36.63178959,57.7544311,26.7724414,23.62578616,14.27558605,4.289879931,6.7378502,2.613493425,3.313321898,5.130931961,22.00285878,24.20068611,37.00314465,33.67581475,31.61978273,19.57661521,13.64751286,4.949971412,2.023727844,19064,5,41
6,4.941395083,6.061177816,23.54373928,25.20068611,45.5383076,49.55574614,32.45597484,22.19639794,22.34105203,5.683819325,6,3.786735277,5.274728416,7.733276158,16.40623213,29.03459119,39.0320183,29.70783305,29.13178959,18.41194969,12.12378502,7.333333333,3.213264723,22543,5,41
4.329341317,0,0,0.671514115,4.029084688,3.164813231,14.33276305,3,2.333333333,1,0,0,1.236954662,3.666666667,0.250926718,3.125463359,2.686056459,17.9740519,2.107214143,1.400057029,3.673224979,0,0,0,3263,5,41
8.045337896,5.725691474,6.336184773,22.61420017,22.84003422,39.10835472,40.64328486,26.17137154,19.01710864,21.43570003,5.834046193,7.166809239,4.522668948,6.217279726,7.202167094,15.06444254,26.98260622,28.81864842,19.20102652,21.95038494,13.79840319,10.56829199,7.031650984,3.99857428,22882,5,42
4.316195373,0,0,0.666666667,4.190231362,3.666666667,15.66666667,2.921451014,2.333333333,1,0,0,1.330477007,3.061696658,0,3.041988003,2.677806341,14.89145958,1.677235076,1,3.044558698,0,0,0,3268,5,42
2.333333333,1.333333333,1.666666667,13.87982833,24.23805436,33.74849785,37.36137339,51.45665236,64.79284692,12.81430615,1.697854077,0.695565093,1,2.666666667,4.333333333,16.16824034,18.58369099,35.41230329,18.11959943,54.53676681,32.09985694,12.02288984,6.217167382,0.306723891,4318,5,42
1.335329341,0.333333333,0.333333333,1.965497576,3.564299971,16.53692615,17.2041631,6.783575706,2.666666667,0.666666667,0.333333333,2.317365269,0.664670659,0.333333333,1.21899059,0.890789849,6.596521243,7.250641574,15.72626176,6.167094383,2.159395495,0.812090106,0.20188195,0,16449,5,43
3.988003428,0.333333333,0.666666667,2.958583262,11.60896887,7.766638103,15.32276492,10.05912596,12.48386175,2.008283348,4.488717509,3.333333333,0.74493002,1.078263353,0.562125107,12.48728935,10.88346187,13.19965724,5.815195658,7.646101114,6.706940874,1,1.690088546,1,11189,5,43
2,0,0.333333333,2.666666667,5.333333333,16.66666667,27.02515723,9.878216123,6.094911378,1.333333333,0.333333333,0.274442539,0.333333333,0.333333333,0.333333333,2.333333333,18.60034305,11.92595769,14.39479703,15.69496855,3.783876501,1.666666667,0,0,15473,5,44
4.448354793,2.05751073,1.37167382,9.008583691,24.95336195,32.93218884,23.2658083,39.15793991,45.06180258,11.90729614,4.775965665,0.076680973,2.278683834,1.183690987,2.37167382,11.8769671,19.95135908,31.44206009,14.81173104,25.28040057,28.35050072,8.431187411,3.091559371,0.038340486,4291,5,45
2.921663965,0,0.254997299,2.402215019,12.13425176,6,11.0991356,12.98379254,16.29443544,1.322798487,6.360075635,2.400054025,1.333333333,0.940302539,3.576175041,10.76175041,9.403835764,14.03295516,4.540248514,7.206915181,6.969746083,1.36736899,2.747163695,1.140194489,8622,5,45
